icpsr,congress,committees_sw,positions,bioguide,committees_unitedstates,titles
13035,112,TAXATION;WAYS,,R000053,WAYS,
14009,113,AGRICULTURE;APPROPRIATIONS;RULES,Ranking Minority,C000567,AGRICULTURE;APPROPRIATIONS;LIBRARY;RULES,Ranking Member
14226,115,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Chair,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
14226,114,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Chair,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman
14226,113,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Ranking Minority,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14226,112,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION,Ranking Minority,G000386,AGRICULTURE;BUDGET;FINANCE;JUDICIARY;TAXATION;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14307,115,AGRICULTURE;APPROPRIATIONS;JUDICIARY;RULES,,L000174,AGRICULTURE;APPROPRIATIONS;JUDICIARY;LIBRARY;RULES,Ranking Member
14647,112,HOMELAND SECURITY;HOUSE ADMINISTRATION;JUDICIARY;LIBRARY;PRINTING,Chair,L000517,HOMELAND SECURITY;HOUSE ADMINISTRATION;JUDICIARY,Chair
14651,113,AGING;ARMED SERVICES;BUDGET;COMMERCE;FINANCE,Chair,N000032,AGING;ARMED SERVICES;BUDGET;COMMERCE;FINANCE;INTELLIGENCE,Chairman
14657,115,FOREIGN;JUDICIARY,,S000244,FOREIGN;JUDICIARY;SCIENCE,
14709,112,ARMED SERVICES;HOMELAND SECURITY;SMALL BUSINESS,Chair,L000261,ARMED SERVICES;HOMELAND SECURITY;INTELLIGENCE;SMALL BUSINESS,Ex Officio;Chairman
14806,113,APPROPRIATIONS;COMMERCE;ECONOMIC;INTELLIGENCE,Ranking Minority,C000542,APPROPRIATIONS;COMMERCE;ECONOMIC;ENERGY;INTELLIGENCE,
14852,115,AGRICULTURE;ETHICS;FINANCE;HEALTH;RULES,Chair,R000307,AGRICULTURE;ETHICS;FINANCE;HEALTH;LIBRARY;PRINTING;RULES,Chairman
14858,115,MINORITY LEADER;RULES,,S000148,BANKING;FINANCE;INTELLIGENCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member;Ex Officio
14858,114,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Ranking Minority,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Ranking Member
14858,113,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Chair,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman;Vice Chairman
14858,112,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES,Chair,S000148,BANKING;FINANCE;JUDICIARY;LIBRARY;PRINTING;RULES;UNITED STATES SENATE CAUCUS ON INTERNATIONAL NARCOTICS CONTROL,Chairman;Vice Chairman
14863,115,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14863,114,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14863,113,FOREIGN,,S000522,COMMISSION ON SECURITY;FOREIGN,Co-Chairman
14921,115,AGRICULTURE;APPROPRIATIONS;MAJORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,114,AGRICULTURE;APPROPRIATIONS;MAJORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,113,AGRICULTURE;APPROPRIATIONS;MINORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
14921,112,AGRICULTURE;APPROPRIATIONS;MINORITY LEADER;RULES,,M000355,AGRICULTURE;APPROPRIATIONS;INTELLIGENCE;RULES,Ex Officio
15021,115,APPROPRIATIONS;JUDICIARY;MINORITY WHIP;RULES,,D000563,APPROPRIATIONS;JUDICIARY;RULES,
15021,114,APPROPRIATIONS;JUDICIARY;MINORITY WHIP;RULES,,D000563,APPROPRIATIONS;JUDICIARY;LIBRARY;RULES,
15021,113,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;MAJORITY WHIP;RULES,,D000563,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;RULES,
15021,112,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;MAJORITY WHIP;RULES,,D000563,APPROPRIATIONS;FOREIGN RELATIONS;JUDICIARY;LIBRARY;RULES,
15029,113,APPROPRIATIONS,,K000009,APPROPRIATIONS;BUDGET,
15033,115,WAYS,,L000263,TAXATION;WAYS,Ranking Member
15033,112,TAXATION;WAYS,Ranking Minority,L000263,WAYS,Ranking Member
15039,115,ARMED SERVICES;HOMELAND SECURITY;INDIAN,Chair,M000303,ARMED SERVICES;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Chairman
15039,114,ARMED SERVICES;HOMELAND SECURITY;INDIAN,Chair,M000303,ARMED SERVICES;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Chairman
15039,113,ARMED SERVICES;FOREIGN RELATIONS;HOMELAND SECURITY;INDIAN,,M000303,ARMED SERVICES;FOREIGN RELATIONS;HEALTH;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Ranking Member
15039,112,ARMED SERVICES;HEALTH;HOMELAND SECURITY;INDIAN,Ranking Minority,M000303,ARMED SERVICES;HEALTH;HOMELAND SECURITY;INDIAN;INTELLIGENCE,Ex Officio;Ranking Member
15054,114,MINORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15054,113,MAJORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15054,112,MAJORITY LEADER,,R000146,INTELLIGENCE,Ex Officio
15408,115,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,C000141,COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
15408,114,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Minority,C000141,COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Ranking Member
15408,113,ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,,C000141,BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Chairman
15408,112,BUDGET;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,,C000141,BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;FINANCE;FOREIGN RELATIONS;SMALL BUSINESS,Chairman
15420,112,TAXATION;WAYS,,H000528,WAYS,
15424,115,ARMED SERVICES;COMMERCE;ENVIRONMENT;SMALL BUSINESS,,I000024,ARMED SERVICES;COMMERCE;ENVIRONMENT;INTELLIGENCE;SMALL BUSINESS,Chairman;Ex Officio
15424,113,ARMED SERVICES;ENVIRONMENT,Ranking Minority,I000024,ARMED SERVICES;ENVIRONMENT;FOREIGN RELATIONS;INTELLIGENCE,Ranking Member;Ex Officio
15425,113,APPROPRIATIONS;BANKING;ENERGY;HOMELAND SECURITY;INDIAN,Chair,J000177,APPROPRIATIONS;BANKING;ENERGY;INDIAN,Chairman
15425,112,APPROPRIATIONS;BANKING;ENERGY;HOMELAND SECURITY;INDIAN,Chair,J000177,APPROPRIATIONS;BANKING;ENERGY;INDIAN,Chairman
15429,112,FINANCE;JUDICIARY;MINORITY WHIP,,K000352,FINANCE;JUDICIARY,
15444,115,RULES,Ranking Minority,S000480,COMMISSION ON SECURITY;RULES,Ranking Member
15444,114,RULES,Ranking Minority,S000480,COMMISSION ON SECURITY;RULES,Ranking Member
15444,113,RULES,Ranking Minority,S000480,COMMISSION ON SECURITY;RULES,Ranking Member
15446,112,DEFICIT REDUCTION;ENERGY,Chair,U000031,ENERGY,Chair
15455,113,OVERSIGHT;TRANSPORTATION,,D000533,NATURAL RESOURCES;OVERSIGHT;TRANSPORTATION,
15634,113,FOREIGN,,R000435,FOREIGN;RULES,Chair
20100,113,AGING;ENERGY;FOREIGN RELATIONS;JUDICIARY,,F000444,AGING;APPROPRIATIONS;ENERGY;FOREIGN RELATIONS;JUDICIARY,
20101,115,AGRICULTURE;APPROPRIATIONS;BUDGET;ENVIRONMENT;VETERANS,,B001236,AGRICULTURE;APPROPRIATIONS;BUDGET;COMMISSION ON SECURITY;ENVIRONMENT;PRINTING;RULES;VETERANS,
20101,114,AGRICULTURE;APPROPRIATIONS;ENVIRONMENT;RULES;VETERANS,,B001236,AGRICULTURE;APPROPRIATIONS;COMMISSION ON SECURITY;ENVIRONMENT;PRINTING;RULES;VETERANS,
20101,113,AGRICULTURE;APPROPRIATIONS;ENVIRONMENT;VETERANS,,B001236,AGRICULTURE;APPROPRIATIONS;COMMERCE;COMMISSION ON SECURITY;ENVIRONMENT;VETERANS,
20103,113,APPROPRIATIONS,,H001034,APPROPRIATIONS;BUDGET,
20104,114,APPROPRIATIONS;BENGHAZI;INTELLIGENCE,Ranking Minority,S001150,APPROPRIATIONS;INTELLIGENCE,Ranking Member
20104,113,APPROPRIATIONS;BENGHAZI;INTELLIGENCE,Ranking Minority,S001150,APPROPRIATIONS;INTELLIGENCE,
20107,114,FOREIGN;JUDICIARY;OVERSIGHT,,I000056,FOREIGN;JUDICIARY,
20111,112,APPROPRIATIONS;LIBRARY,,C001045,APPROPRIATIONS,
20120,112,ENERGY,,R000572,ENERGY;INTELLIGENCE,Chair
20122,113,APPROPRIATIONS,,M001143,APPROPRIATIONS;BUDGET,
20130,115,ECONOMIC;WAYS,Chair,T000462,WAYS,
20130,114,ECONOMIC;WAYS,,T000462,WAYS,
20146,115,APPROPRIATIONS;COMMERCE;ENVIRONMENT;RULES,,C001047,APPROPRIATIONS;COMMERCE;ENERGY;ENVIRONMENT;LIBRARY;RULES,
20146,114,APPROPRIATIONS;ENERGY;ENVIRONMENT;LIBRARY;PRINTING;RULES,,C001047,APPROPRIATIONS;ENERGY;ENVIRONMENT;LIBRARY;RULES,
20300,113,APPROPRIATIONS,,B001244,APPROPRIATIONS;ETHICS,Chair
20307,114,INTELLIGENCE;TAXATION;WAYS,Chair,N000181,INTELLIGENCE;WAYS,Chair
20310,114,BENGHAZI;ETHICS;WAYS,Ranking Minority,S001156,ETHICS;WAYS,Ranking Member
20310,113,BENGHAZI;ETHICS;WAYS,Ranking Minority,S001156,ETHICS;JUDICIARY;VETERANS;WAYS,Ranking Member
20319,113,ENERGY;HOUSE ADMINISTRATION,,G000550,COMMISSION ON SECURITY;ENERGY;HOUSE ADMINISTRATION,
20329,112,ARMED SERVICES;INTELLIGENCE,Ranking Minority,R000576,INTELLIGENCE,Ranking Member
20330,115,AGRICULTURE;APPROPRIATIONS;BANKING;BUDGET,,V000128,AGRICULTURE;APPROPRIATIONS;BANKING;BUDGET;ENVIRONMENT,Ranking Member
20330,112,BUDGET;DEFICIT REDUCTION,Ranking MinorityNA,V000128,BUDGET,Ranking Member
20342,115,ARMED SERVICES;INTELLIGENCE,,T000463,ARMED SERVICES;INTELLIGENCE;OVERSIGHT,
20343,115,APPROPRIATIONS,,R000577,APPROPRIATIONS;BUDGET,
20343,113,APPROPRIATIONS;BUDGET,,R000577,APPROPRIATIONS;ARMED SERVICES;BUDGET,
20344,115,APPROPRIATIONS;BUDGET;RULES,,C001053,APPROPRIATIONS;BUDGET;LIBRARY;RULES,
20344,114,APPROPRIATIONS;BUDGET;RULES,,C001053,APPROPRIATIONS;BUDGET;LIBRARY;RULES,
20352,112,DEFICIT REDUCTION;FINANCIAL SERVICES,Chair,H001036,FINANCIAL SERVICES,
20355,115,ENERGY;RULES,,B001248,COMMISSION ON SECURITY;ENERGY;RULES,
20355,114,ENERGY;RULES,,B001248,COMMISSION ON SECURITY;ENERGY;RULES,
20355,113,ENERGY;RULES,,B001248,COMMISSION ON SECURITY;ENERGY;RULES,
20355,112,ECONOMIC;ENERGY,,B001248,ENERGY,
20504,112,BUDGET;JUDICIARY,,W000797,BUDGET,
20506,114,BENGHAZI;FINANCIAL SERVICES;INTELLIGENCE,,W000796,FINANCIAL SERVICES;INTELLIGENCE,
20506,113,BENGHAZI;FINANCIAL SERVICES;INTELLIGENCE,,W000796,FINANCIAL SERVICES;INTELLIGENCE,
20507,113,ENERGY,,B001252,ENERGY;VETERANS,
20518,113,APPROPRIATIONS,,F000449,AGRICULTURE;APPROPRIATIONS;FOREIGN,
20519,115,BUDGET;WAYS,,H001038,BUDGET;FOREIGN;HOMELAND SECURITY;WAYS,
20521,115,EDUCATION;OVERSIGHT,Chair,F000450,EDUCATION;OVERSIGHT;RULES,Vice Chair;Chair
20525,113,BUDGET;WAYS,,S001162,BUDGET;FOREIGN;WAYS,
20526,115,APPROPRIATIONS,,D000604,APPROPRIATIONS;ETHICS,Chair
20530,115,FOREIGN;HOMELAND SECURITY,Chair,M001157,FOREIGN;HOMELAND SECURITY;SCIENCE,Chair
20530,113,FOREIGN;HOMELAND SECURITY;SCIENCE,Chair,M001157,ETHICS;FOREIGN;HOMELAND SECURITY;SCIENCE,Chair
20532,112,FINANCIAL SERVICES;WAYS,,M001158,WAYS,
20533,113,APPROPRIATIONS,,C001063,AGRICULTURE;APPROPRIATIONS;HOMELAND SECURITY,
20537,115,FINANCIAL SERVICES,,M001160,BUDGET;FINANCIAL SERVICES,
20539,112,BUDGET;ECONOMIC;FINANCIAL SERVICES,,C001064,BUDGET;FINANCIAL SERVICES,
20702,115,ENERGY;SCIENCE,,M001166,ENERGY;SCIENCE;VETERANS,
20702,113,ENERGY,,M001166,ENERGY;SCIENCE;VETERANS,
20703,113,FINANCIAL SERVICES;MAJORITY WHIP,,M001165,FINANCIAL SERVICES,
20703,112,FINANCIAL SERVICES;MAJORITY WHIP,,M001165,FINANCIAL SERVICES,
20704,115,ARMED SERVICES;NATURAL RESOURCES,,L000564,ARMED SERVICES;NATURAL RESOURCES;VETERANS,
20706,113,AGRICULTURE;ARMED SERVICES;EDUCATION,,C001069,AGRICULTURE;ARMED SERVICES;EDUCATION;ETHICS,
20707,113,ECONOMIC;FOREIGN RELATIONS;HEALTH,,M001169,ECONOMIC;FOREIGN;FOREIGN RELATIONS;HEALTH;OVERSIGHT,
20708,115,ENERGY,,C001066,BUDGET;ENERGY,
20708,112,ARMED SERVICES;BUDGET;ENERGY,,C001066,BUDGET;ENERGY,
20712,115,JUDICIARY;TRANSPORTATION,,J000288,ARMED SERVICES;JUDICIARY;TRANSPORTATION,
20713,115,ARMED SERVICES;ENERGY;JUDICIARY;SMALL BUSINESS;VETERANS,,H001042,ARMED SERVICES;ENERGY;INTELLIGENCE;JUDICIARY;SMALL BUSINESS;VETERANS,
20713,113,ARMED SERVICES;ENVIRONMENT;JUDICIARY;VETERANS,,H001042,ARMED SERVICES;EDUCATION;ENVIRONMENT;JUDICIARY;TRANSPORTATION;VETERANS,
20713,112,EDUCATION;ETHICS;TRANSPORTATION,,H001042,EDUCATION;TRANSPORTATION,
20715,114,BENGHAZI;WAYS,,R000580,WAYS,
20715,113,BENGHAZI;WAYS,,R000580,WAYS,
20717,113,AGING;AGRICULTURE;ARMED SERVICES,,D000607,AGING;AGRICULTURE;ARMED SERVICES;FINANCIAL SERVICES;VETERANS,
20719,113,ENERGY,,B001259,ENERGY;OVERSIGHT;VETERANS,
20723,115,BUDGET,Ranking Minority,Y000062,BUDGET;ENERGY,Ranking Member
20723,113,BUDGET;EDUCATION,,Y000062,BUDGET;EDUCATION;ENERGY;ETHICS;OVERSIGHT,
20724,112,ENERGY;NATURAL RESOURCES;SCIENCE,,S001168,ENERGY,
20725,115,EDUCATION;ENERGY,,W000798,EDUCATION;ENERGY;OVERSIGHT,
20725,113,EDUCATION;OVERSIGHT,,W000798,EDUCATION;HOMELAND SECURITY;OVERSIGHT,
20730,115,BANKING;COMMERCE;FINANCE;VETERANS,,H001041,AGING;BANKING;COMMERCE;FINANCE;VETERANS,
20730,112,AGING;COMMERCE;ENERGY;WAYS,,H001041,AGING;COMMERCE;ENERGY,
20737,112,BUDGET;SMALL BUSINESS;TRANSPORTATION,,S001171,BUDGET;TRANSPORTATION,
20738,114,BENGHAZI;JUDICIARY;OVERSIGHT,,J000289,JUDICIARY;OVERSIGHT,
20738,113,BENGHAZI;JUDICIARY;OVERSIGHT,,J000289,JUDICIARY;OVERSIGHT,
20743,112,EDUCATION;SMALL BUSINESS;TRANSPORTATION,,A000362,EDUCATION;TRANSPORTATION,
20748,115,ETHICS;JUDICIARY;TRANSPORTATION,,C001068,COMMISSION ON SECURITY;ETHICS;JUDICIARY;TRANSPORTATION,
20748,114,JUDICIARY;TRANSPORTATION,,C001068,COMMISSION ON SECURITY;JUDICIARY;TRANSPORTATION,
20748,113,JUDICIARY;TRANSPORTATION,,C001068,COMMISSION ON SECURITY;JUDICIARY;TRANSPORTATION,
20750,113,ENERGY;OVERSIGHT,,W000800,AGRICULTURE;ENERGY;OVERSIGHT,
20757,113,ARMED SERVICES;TRANSPORTATION,,C001072,ARMED SERVICES;FINANCIAL SERVICES;TRANSPORTATION,
20758,113,ENERGY;VETERANS,,B001257,ENERGY;FOREIGN;HOMELAND SECURITY;VETERANS,
20759,115,ENERGY;MAJORITY WHIP,,S001176,ENERGY,
20759,114,ENERGY;MAJORITY WHIP,,S001176,ENERGY,
20762,112,ARMED SERVICES;HOMELAND SECURITY;OVERSIGHT,,S001175,ARMED SERVICES;OVERSIGHT,
20763,113,SCIENCE;TRANSPORTATION,,E000290,ETHICS;SCIENCE;TRANSPORTATION,
20904,115,EDUCATION;ETHICS;RULES,,P000598,EDUCATION;ETHICS;NATURAL RESOURCES;RULES,
20904,113,EDUCATION;RULES,,P000598,EDUCATION;JUDICIARY;RULES,
20906,113,ARMED SERVICES;SMALL BUSINESS;VETERANS,,C001077,ARMED SERVICES;NATURAL RESOURCES;SMALL BUSINESS;VETERANS,
20910,113,APPROPRIATIONS;INTELLIGENCE,,R000583,AGRICULTURE;APPROPRIATIONS;ARMED SERVICES;INTELLIGENCE,
20914,112,HOUSE ADMINISTRATION;PRINTING;WAYS,,S001179,HOUSE ADMINISTRATION;WAYS,
20919,115,ECONOMIC;ENERGY;FINANCE;HEALTH;VETERANS,,C001075,APPROPRIATIONS;ECONOMIC;ENERGY;FINANCE;HEALTH;VETERANS,
20920,113,APPROPRIATIONS,,P000597,AGRICULTURE;APPROPRIATIONS;ARMED SERVICES,
20923,115,ARMED SERVICES;COMMERCE;ECONOMIC;HOMELAND SECURITY,,P000595,ARMED SERVICES;COMMERCE;ECONOMIC;HOMELAND SECURITY;SMALL BUSINESS,
20923,113,FINANCIAL SERVICES,,P000595,FINANCIAL SERVICES;SMALL BUSINESS,
20925,115,ENERGY;HOUSE ADMINISTRATION,Chair,H001045,ENERGY;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Chairman;Vice Chairman;Chair
20925,113,ENERGY;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Chair,H001045,ENERGY;ETHICS;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Chairman;Vice Chairman
20925,112,ENERGY;ETHICS;HOUSE ADMINISTRATION;LIBRARY;PRINTING,Chair,H001045,ENERGY;ETHICS;HOUSE ADMINISTRATION,
20927,115,FOREIGN;TRANSPORTATION,,T000468,FOREIGN;TRANSPORTATION;VETERANS,
20930,113,COMMERCE;ECONOMIC;ENERGY;INTELLIGENCE,,H001046,ARMED SERVICES;COMMERCE;ECONOMIC;ENERGY;INTELLIGENCE;NATURAL RESOURCES,
20932,113,ENERGY,,L000570,ENERGY;NATURAL RESOURCES;SCIENCE,
20934,113,ENERGY,,T000469,ENERGY;NATURAL RESOURCES;SCIENCE,
20934,112,BUDGET;NATURAL RESOURCES;SCIENCE,,T000469,NATURAL RESOURCES;SCIENCE,
20941,112,AGRICULTURE;EDUCATION;SCIENCE,,F000455,AGRICULTURE;EDUCATION,
20949,113,HOMELAND SECURITY;JUDICIARY;OVERSIGHT,,C001076,BUDGET;HOMELAND SECURITY;JUDICIARY;OVERSIGHT,
